Compound name,Compound id,Device id,Publish year,Doi,Journal name,Smiles,Mn(Kda),Dispersity(Đ),π-π Spacing,d(100),Device architectures,Channel length(μm),Channel width(μm),Ratio of channel length and width,Materials of dielectric layer,Thickness of dielectric layer(μm),Capacitance of unit area(nF),Materials of source and drain electrodes,Materials of gate electrodes,Fabrication method,Annealing temperature,Spin coating solvent,Spin coating speed(rpm),Test environment,Type of carriers,HOMO (eV),LUMO (eV),Max hole mobility (cm²V⁻¹s⁻¹),Mean hole mobility (cm²V⁻¹s⁻¹),Hole threshold voltage(V),Hole on and off ratio,Max electron mobility (cm²V⁻¹s⁻¹),Mean electron mobility (cm²V⁻¹s⁻¹),Electron threshold voltage(V),Electron on and off ratio,Max mobility (cm²V⁻¹s⁻¹),Comments
PBIBDF-HH,73,137,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,CCCCCCCCCCCCc1ccsc1-c1sc(-c2ccc3c(c2)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C3=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3ccccc32)cc1CCCCCCCCCCCC,17.4,1.85,,,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",200.0,Chloroform,3500.0,Nitrogen,ambipolar,-5.63,-4.06,0.17,0.15,-26.5,1000000,0.38,0.34,15.0,1000000,0.38,Linear Region
PBIBDF-HT,74,138,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,CCCCCCCCCCCCc1cc(-c2sccc2CCCCCCCCCCCC)sc1-c1ccc2c(c1)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c2ccccc21,10.2,1.48,,,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",200.0,Chloroform,3500.0,Nitrogen,n,-5.68,-4.05,,,,,,,,,0.0,Linear Region
PBIBDF-TT,75,139,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,CCCCCCCCCCCCc1csc(-c2cc(CCCCCCCCCCCC)c(-c3ccc4c(c3)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C4=C3/C(=O)Oc4cc5c(cc43)OC(=O)/C5=C3/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c4ccccc43)s2)c1,19.4,1.98,,,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",200.0,Chloroform,3500.0,Nitrogen,ambipolar,-5.73,-4.01,0.16,0.096,-45.6,50000,0.33,0.31,16.5,2000000,0.33,Linear Region
BDOPV-TT,76,140,2015,10.1021/acs.chemmater.5b00018,Chemistry of materials,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3cc(-c4cc5sccc5s4)ccc32)c2ccccc21,20.9,2.86,3.45,26.8,TG/BC,,,,CYTOP,,,Au,Al,"Spin coating - annealing",180.0,o-DCB,,Ambient,ambipolar,-5.7,-3.88,1.7,0.8,-65.0,,1.37,0.91,33.0,,1.7,
BDOPV-BDT,77,141,2015,10.1021/acs.chemmater.5b00018,Chemistry of materials,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3cc(-c4cc5cc6sccc6cc5s4)ccc32)c2ccccc21,13.9,2.14,,24.9,TG/BC,,,,CYTOP,,,Au,Al,"Spin coating - annealing",180.0,o-DCB,,Ambient,ambipolar,-5.78,-3.88,0.12,0.08,-69.0,,0.11,0.07,38.0,,0.12,
BDOPV-BDSe,78,142,2015,10.1021/acs.chemmater.5b00018,Chemistry of materials,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3cc(-c4cc5cc6[se]ccc6cc5[se]4)ccc32)c2ccccc21,19.2,2.56,3.5,25.1,TG/BC,,,,CYTOP,,,Au,Al,"Spin coating - annealing",180.0,o-DCB,,Ambient,ambipolar,-5.74,-3.88,0.1,0.08,-66.0,,0.16,0.1,34.0,,0.16,
AzaBDOPV-2T,79,143,2016,10.1039/c6sc01380e,Chemical Science,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3nc(-c4ccc(-c5cccs5)s4)ccc32)c2cccnc21,51.6,2.62,3.44,28.4,TG/BC,5.0,100.0,20.0,CYTOP,,3.5,Au,Al,"Spin coating - annealing",200.0,o-DCB,1500.0,Ambient,n,-5.8,-4.37,,,,,3.22,1.63,40.0,100000,3.22,
PBABDF-DT,80,144,2017,10.1039/c7py00295e,Polymer Chemistry,CCCCCCCCCCCCc1ccsc1-c1sc(-c2ccc3c(n2)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(=O)/C3=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c3ncccc32)cc1CCCCCCCCCCCC,32.6,5.0,3.53,24.94,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,300.0,10.8,Au,Si,Spin coating,,Chloroform,3000.0,vacuum,n,-5.7,-4.04,,,,,0.65,0.46,18.0,5900000,0.65,
PBABDF-DT,80,145,2017,10.1039/c7py00295e,Polymer Chemistry,CCCCCCCCCCCCc1ccsc1-c1sc(-c2ccc3c(n2)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(=O)/C3=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c3ncccc32)cc1CCCCCCCCCCCC,32.6,5.0,3.52,24.36,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,300.0,10.8,Au,Si,"Spin coating - annealing",260.0,Chloroform,3000.0,vacuum,n,-5.7,-4.04,,,,,1.86,1.34,24.0,1600000,1.86,
PBABDF-TVT,81,146,2017,10.1039/c7py00295e,Polymer Chemistry,CCCCCCCCCCCCc1ccsc1/C=C/c1sc(-c2ccc3c(n2)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(=O)/C3=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c3ncccc32)cc1CCCCCCCCCCCC,30.8,5.8,3.55,25.14,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,300.0,10.8,Au,Si,Spin coating,,Chloroform,3000.0,vacuum,n,-5.6,-3.99,,,,,0.61,0.52,21.0,1000000,0.61,
PBABDF-TVT,81,147,2017,10.1039/c7py00295e,Polymer Chemistry,CCCCCCCCCCCCc1ccsc1/C=C/c1sc(-c2ccc3c(n2)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(=O)/C3=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c3ncccc32)cc1CCCCCCCCCCCC,30.8,5.8,3.5,23.45,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,300.0,10.8,Au,Si,"Spin coating - annealing",260.0,Chloroform,3000.0,vacuum,n,-5.6,-3.99,,,,,1.56,1.17,24.0,1000000,1.56,
PBIBDF-FTP1,82,148,2018,10.1021/acs.chemmater.8b02359,Chemistry of materials,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3cc(-c4cc(F)c(-c5sccc5F)s4)ccc32)c2ccccc21,28.3,1.8,3.49,32.37,BG/TC,130.0,760.0,5.85,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",210.0,chlorobenzene,4000.0,Ambient,ambipolar,-5.79,-4.0,0.051,0.042,-42.0,64.7,0.097,0.082,24.4,190,0.097,
PBIBDF-FTP2,83,149,2018,10.1021/acs.chemmater.8b02359,Chemistry of materials,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3nc(-c4cc(F)c(-c5sccc5F)s4)ccc32)c2cccnc21,34.2,1.7,3.41,29.9,BG/TC,130.0,760.0,5.85,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",290.0,chlorobenzene,4000.0,Ambient,n,-6.04,-4.1,,,,,0.77,0.63,1.1,6000000,0.77,
PBABDF-TVT,84,150,2018,10.1021/acs.macromol.8b00839,Macromolecules,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3nc(-c4ccc(/C=C/c5cccs5)s4)ccc32)c2cccnc21,48.1,2.75,3.53,32.88,BG/TC,130.0,760.0,5.85,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",260.0,chlorobenzene,4500.0,Ambient,n,-5.63,-4.02,0.014,0.0092,-41.2,1020,1.1,0.83,25.3,20000,1.1,
PBABDF-TCNT,85,151,2018,10.1021/acs.macromol.8b00839,Macromolecules,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3nc(-c4ccc(/C=C(\C#N)c5cccs5)s4)ccc32)c2cccnc21,46.1,2.97,3.42,29.9,BG/TC,130.0,760.0,5.85,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",290.0,chlorobenzene,4500.0,Ambient,n,-5.88,-4.15,,,,,0.16,0.12,20.3,80000,0.16,
PBABDF-TZ,86,152,2018,10.1021/acs.macromol.8b00839,Macromolecules,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3nc(-c4cnc(-c5nccs5)s4)ccc32)c2cccnc21,40.4,2.58,3.51,30.63,BG/TC,130.0,760.0,5.85,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",290.0,chlorobenzene,4500.0,Ambient,n,-6.06,-4.28,,,,,0.038,0.031,31.9,700000,0.038,
PNVB,87,153,2020,10.1021/acsami.0c02322,ACS Applied Materials & Interfaces,C=Cc1cc2c3c(c(/C=C/c4ccc5c(n4)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(=O)/C5=C4/C(=O)Oc5cc6c(cc54)OC(=O)/C6=C4/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c5ncccc54)cc4c3c1C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C4=O)C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=O,12.9,2.6,3.64,26.07,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,300.0,,Au,Si,"Spin coating - annealing",200.0,chlorobenzene,4000.0,Ambient,n,-6.01,-4.28,,,,,0.0085,0.005,10.0,10000-100000,0.0085,
PBABDFV,88,154,2020,10.1021/acsami.0c02322,ACS Applied Materials & Interfaces,C=Cc1ccc2c(n1)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c2ncccc21,16.6,2.8,3.48,25.49,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,300.0,,Au,Si,"Spin coating - annealing",260.0,chlorobenzene,4000.0,Ambient,n,-5.9,-4.29,,,,,0.76,0.55,25.0,1000000-10000000,0.76,
PBAIDV,89,155,2020,10.1021/acsami.0c02322,ACS Applied Materials & Interfaces,C=Cc1ccc2c(n1)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(=O)/C2=C1/C(=O)N(CCCCCCCCCCCC)c2cc3c(cc21)N(CCCCCCCCCCCC)C(=O)/C3=C1/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c2ncccc21,10.1,3.5,3.6,27.2,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,300.0,,Au,Si,"Spin coating - annealing",200.0,chlorobenzene,4000.0,Ambient,n,-5.71,-3.68,0.00038,0.0003,22.0,100-1000,0.0027,0.0021,46.0,100-1000,0.0027,
PNVB,87,156,2020,10.1021/acsami.0c02322,ACS Applied Materials & Interfaces,C=Cc1cc2c3c(c(/C=C/c4ccc5c(n4)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(=O)/C5=C4/C(=O)Oc5cc6c(cc54)OC(=O)/C6=C4/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c5ncccc54)cc4c3c1C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C4=O)C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=O,12.9,2.6,3.64,26.07,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,300.0,,Au,Si,"Spin coating - annealing",200.0,chlorobenzene,4000.0,vacuum,n,-6.01,-4.28,,,,,0.0091,0.0083,4.0,10000-100000,0.0091,
PBABDFV,88,157,2020,10.1021/acsami.0c02322,ACS Applied Materials & Interfaces,C=Cc1ccc2c(n1)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c2ncccc21,16.6,2.8,3.48,25.49,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,300.0,,Au,Si,"Spin coating - annealing",260.0,chlorobenzene,4000.0,vacuum,n,-5.9,-4.29,,,,,0.52,0.38,13.0,10000000-100000000,0.52,
PBAIDV,89,158,2020,10.1021/acsami.0c02322,ACS Applied Materials & Interfaces,C=Cc1ccc2c(n1)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(=O)/C2=C1/C(=O)N(CCCCCCCCCCCC)c2cc3c(cc21)N(CCCCCCCCCCCC)C(=O)/C3=C1/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c2ncccc21,10.1,3.5,3.6,27.2,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,300.0,,Au,Si,"Spin coating - annealing",200.0,chlorobenzene,4000.0,vacuum,n,-5.71,-3.68,,,,,0.14,0.026,31.0,10000-100000,0.14,
HD-PPPV,90,159,2011,10.1021/cm202247a,Chemistry of materials,C=Cc1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccccc4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)cc1,88.8,2.32,,,BG/BC,20.0,400.0,20.0,OTS-8,200.0,,Cr/Au,Si,"Spin coating - annealing",150.0,o-DCB,,Nitrogen,p,-5.48,-3.13,,4.9e-07,-9.8,10,,,,,4.9e-07,"Channel_Length is 20-40, Channel_Width is 400-800 according the report,but the ratio is fixed in  20 "
HD-PPTV,91,160,2011,10.1021/cm202247a,Chemistry of materials,C=Cc1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4cccs4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,56.2,2.74,3.92,18.47,BG/BC,20.0,400.0,20.0,OTS-8,200.0,,Cr/Au,Si,"Spin coating - annealing",150.0,o-DCB,,Nitrogen,p,-5.14,-3.34,,0.17,-5.5,100-1000,,0.017,22.7,100-1000,0.17,"Channel_Length is 20-40, Channel_Width is 400-800 according the report,but the ratio is fixed in  20 "
PDPPNT,92,161,2011,10.1039/C1EE01213D,Energy & Environmental Science,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc5ccccc5c4)s3)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cccs1,63.8,1.43,3.82,20.05,BG/TC,100.0,1000.0,10.0,OTS-modified SiO2,,,Cr/Au,Cr/Au,"Spin coating - annealing",120.0,chloroform,,Nitrogen,p,-5.29,-3.3,,0.65,-22.0,100000,,,,,0.65,
PGFDTDPP (C4),93,162,2010,10.1021/ma9025866,Macromolecules,CCCCCCCCN1C(=O)C2=C(c3ccc(-c4ccc5[c](c4)[Ge]([CH2]CCC)([CH2]CCC)[c]4ccccc4-5)s3)N(CCCCCCCC)C(=O)C2=C1c1cccs1,13.0,2.8,3.8,15.0,TG/BC,45.0,2600.0,58.0,OTS-modified SiO2,607.0,,Au,Si,"Spin coating - annealing",150.0,chloroform,,Ambient,p,-5.38,-3.7,,0.04,-27.0,1.00E+06,,,,,0.04,
PGFDTDPP (C8),94,163,2010,10.1021/ma9025866,Macromolecules,CCCCCCCCN1C(=O)C2=C(c3ccc(-c4ccc5[c](c4)[Ge]([CH2]CCCCCCC)([CH2]CCCCCCC)[c]4ccccc4-5)s3)N(CCCCCCCC)C(=O)C2=C1c1cccs1,14.0,3.5,4.7,18.0,TG/BC,45.0,2600.0,58.0,OTS-modified SiO2,607.0,,Au,Si,"Spin coating - annealing",150.0,chloroform,,Ambient,p,-5.38,-3.64,,0.0077,-27.0,3.60E+05,,,,,0.0077,
PGFDTBT,95,164,2010,10.1021/ma9025866,Macromolecules,CCCCCCC[CH2][Ge]1([CH2]CCCCCCC)[c]2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc45)s3)c[c]21,10.0,2.4,4.7,18.0,TG/BC,45.0,2600.0,58.0,OTS-modified SiO2,607.0,,Au,Si,"Spin coating - annealing",150.0,chloroform,,Ambient,p,-5.58,-3.91,,0.00011,-26.0,1.80E+04,,,,,0.00011,
PDQT,96,165,2011,10.1021/ja1085996,Journal of American Chemical Society,CCCCCCCCCCC(CCCCCCCC)CN1C=C2C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(c3ccc(-c4ccc(-c5cccs5)s4)s3)=C2C1=O,106.0,3.44,3.75,19.9,BG/TC,100.0,1000.0,10.0,OTS-modified SiO2,200.0,,Au,Si,"Spin coating - annealing",100.0,chloroform,,Nitrogen,p,-5.2,-4.0,0.97,0.88,-2.7,1.00E+06,,,,,0.97,
PDQT,97,166,2011,10.1021/ja1085996,Journal of American Chemical Society,CCCCCCCCCCC(CCCCCCCC)CN1C=C2C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(c3ccc(-c4ccc(-c5cccs5)s4)s3)=C2C1=O,45.2,2.15,3.75,19.9,BG/TC,100.0,1000.0,10.0,OTS-modified SiO2,200.0,,Au,Si,"Spin coating - annealing",100.0,chloroform,,Nitrogen,p,,,0.39,0.37,,,,,,,0.39,
DPPT-TT,98,167,2012,10.1002/adma.201102786,Advanced Materials,CCCCCCCCCCC(CCCCCCCC)CN1C=C2C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(c3ccc(-c4cc5sccc5s4)s3)=C2C1=O,50.0,3.87,3.8,20.2,TG/BC,20.0,1000.0,50.0,PMMA,550.0,,Au,Au,"Spin coating - annealing",320.0,o-DCB,,Nitrogen,ambipolar,-5.33,-4.07,1.62,1.36,-16.0,100000-1000000,2.05,1.56,10.0,100000,2.05,
O-HD,99,168,2011,10.1021/jp202996p,The Journal of Physical Chemistry C,CCCCCCCCc1c2ccsc2c(CCCCCCCC)c2sc(-c3ccc(C4=C5C(=O)N(CC(CCCCCC)CCCCCCCC)C(c6cccs6)=C5C(=O)N4CC(CCCCCC)CCCCCCCC)s3)cc12,42.8,2.14,4.09,19.6,BG/BC,20.0,10000.0,500.0,SiO2,230.0,,Au,Si,Spin coating,,o-DCB,,Nitrogen,p,-5.15,-3.28,0.00038,,-23.4,41,,,,,0.00038,
BO-BO,100,169,2011,10.1021/jp202996p,The Journal of Physical Chemistry C,CCCCCCC(CCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(CCC(CCCC)CCCCC)c6ccsc6c(CCC(CCCC)CCCCC)c5s4)s3)N(CC(CCCC)CCCCCC)C(=O)C2=C1c1cccs1,33.2,2.48,3.92,16.9,BG/BC,20.0,10000.0,500.0,SiO2,230.0,,Au,Si,Spin coating,,o-DCB,,Nitrogen,p,-5.14,-3.34,5.9e-05,,-4.8,670,,,,,5.9e-05,
PU-O,101,170,2011,10.1021/jp202996p,The Journal of Physical Chemistry C,CCCCCCCCc1c2ccsc2c(CCCCCCCC)c2sc(-c3ccc(C4=C5C(=O)N(CCC(CCCCC)CCCCCCCC)C(c6cccs6)=C5C(=O)N4CCC(CCCCC)CCCCCCCC)s3)cc12,27.8,1.97,3.97,20.9,BG/BC,20.0,10000.0,500.0,SiO2,230.0,,Au,Si,Spin coating,,o-DCB,,Nitrogen,p,-5.1,-3.31,0.0016,,-8.1,11400,,,,,0.0016,
PDDTP-DPP,102,171,2010,10.1002/adma.201001599,Advanced Materials,CCCCCCCCCCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c(s4)c4sccc4n5CC(CCCCCC)CCCCCCCC)s3)N(CCCCCCCCCCCCCCCC)C(=O)C2=C1c1cccs1,11.7,3.46,3.7,23.1,BG/BC,10.0,250.0,25.0,OTS-modified SiO2,250.0,,Au/Ti,Si,"Spin coating - annealing",,chloroform,,Argon,p,-5.2,-4.05,0.33,0.29,,1000,,,,,0.33,
PDDTP-DPP,102,172,2010,10.1002/adma.201001599,Advanced Materials,CCCCCCCCCCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c(s4)c4sccc4n5CC(CCCCCC)CCCCCCCC)s3)N(CCCCCCCCCCCCCCCC)C(=O)C2=C1c1cccs1,11.7,3.46,3.7,23.1,BG/BC,20.0,250.0,12.5,OTS-modified SiO2,250.0,,Au/Ti,Si,"Spin coating - annealing",,chloroform,,Argon,p,-5.2,-4.05,0.29,0.26,,1000-10000,,,,,0.29,
PDDTP-DPP,102,173,2010,10.1002/adma.201001599,Advanced Materials,CCCCCCCCCCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c(s4)c4sccc4n5CC(CCCCCC)CCCCCCCC)s3)N(CCCCCCCCCCCCCCCC)C(=O)C2=C1c1cccs1,11.7,3.46,3.7,23.1,BG/BC,30.0,250.0,8.3,OTS-modified SiO2,250.0,,Au/Ti,Si,"Spin coating - annealing",,chloroform,,Argon,p,-5.2,-4.05,0.41,0.29,,1000-10000,,,,,0.41,
PDDTP-DPP,102,174,2010,10.1002/adma.201001599,Advanced Materials,CCCCCCCCCCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c(s4)c4sccc4n5CC(CCCCCC)CCCCCCCC)s3)N(CCCCCCCCCCCCCCCC)C(=O)C2=C1c1cccs1,11.7,3.46,3.7,23.1,BG/BC,40.0,250.0,6.25,OTS-modified SiO2,250.0,,Au/Ti,Si,"Spin coating - annealing",150.0,chloroform,,Argon,p,-5.2,-4.05,0.34,0.28,,1000-10000,,,,,0.34,
PDTDPP,103,175,2011,10.1002/adma.201102726,Advanced Materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(c3ccc(-c4sc5c(c4CC(CC)CCCC)c4cccc6c4c5c4cccc5c7c(CC(CC)CCCC)csc7c6c54)s3)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cccs1,13.6,2.5,4.03,20.0,BG/BC,0.2,5.0,25.0,OTS-modified SiO2,200.0,,Ni/Au,Si,"Spin coating - annealing",320.0,chloroform,4500.0,Inert environment,ambipolar,-4.65,-3.5,,0.25,,,,0.29,,,0.29,Spin_Coating_Speed is 4000-5000rpm according to the report
PDPP-FPF,104,176,2012,10.1039/c2jm14989c,Journal of Materials Chemistry C,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccccc4)o3)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1ccco1,48.0,2.65,4.27,17.79,BG/TC,100.0,1000.0,10.0,OTS-modified SiO2,200.0,,Au,Si,Spin coating,,chloroform,,Nitrogen,p,-5.4,-3.88,0.04,,-1.2,100000,,,,,0.04,
PDPP-FNF,105,177,2012,10.1039/c2jm14989c,Journal of Materials Chemistry C,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc5ccccc5c4)o3)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1ccco1,53.6,1.59,4.18,17.58,BG/TC,100.0,1000.0,10.0,OTS-modified SiO2,200.0,,Au,Si,Spin coating,,chloroform,,Nitrogen,p,-5.34,-3.85,0.11,,-40.6,100000,,,,,0.11,
PDPP-FAF,106,178,2012,10.1039/c2jm14989c,Journal of Materials Chemistry C,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc5cc6ccccc6cc5c4)o3)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1ccco1,20.6,1.26,4.41,19.7,BG/TC,100.0,1000.0,10.0,OTS-modified SiO2,200.0,,Au,Si,Spin coating,,chloroform,,Nitrogen,p,-5.33,-3.8,0.07,,-16.3,100000,,,,,0.07,
P1,107,179,2012,10.1039/c1sc00477h,Chemical Science,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc[se]4)[se]3)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1ccc[se]1,70.0,3.0,3.8,19.6,BG/BC,10.0,10000.0,1000.0,HMDS-modified SiO2,200.0,,Au,Si,"Spin coating - annealing",,chlorobenzene,,Nitrogen,ambipolar,-5.2,-4.02,0.108,0.1,,,0.11,0.1,,,0.11,
P2,108,180,2012,10.1039/c1sc00477h,Chemical Science,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(c3ccc(-c4cc5sccc5s4)[se]3)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1ccc[se]1,100.0,2.5,,19.0,BG/BC,10.0,10000.0,1000.0,HMDS-modified SiO2,200.0,,Au,Si,"Spin coating - annealing",,chlorobenzene,,Nitrogen,p,-5.1,-3.92,0.29,0.26,,,0.054,0.05,,,0.29,
